Wall time,Step,Value
1590603301.0787048,0,0.6449999809265137
1590603585.0872548,10,0.5249999761581421
1590603868.1566505,20,0.5350000262260437
1590604151.3376987,30,0.5249999761581421
1590604434.3604455,40,0.4650000035762787
1590604717.772601,50,0.44999998807907104
1590605001.0644207,60,0.3499999940395355
1590605284.56826,70,0.4000000059604645
1590605567.884286,80,0.2800000011920929
1590605851.1114523,90,0.375
1590606134.9248724,100,0.38499999046325684
1590606418.477957,110,0.3100000023841858
1590606702.034264,120,0.28999999165534973
1590606985.4597442,130,0.46000000834465027
1590607268.458307,140,0.41999998688697815
1590607551.8510613,150,0.47999998927116394
1590607834.8948126,160,0.33000001311302185
1590608118.2579353,170,0.5299999713897705
1590608401.5169961,180,0.3799999952316284
1590608684.4760242,190,0.3799999952316284
1590608967.973363,200,0.33500000834465027
1590609251.8018026,210,0.3499999940395355
1590609534.548379,220,0.2800000011920929
1590609818.1618445,230,0.25
1590610101.4182277,240,0.2849999964237213
1590610385.753299,250,0.25
1590610669.623335,260,0.375
1590610952.6972055,270,0.3449999988079071
1590611235.952964,280,0.4950000047683716
1590611519.2482078,290,0.4399999976158142
1590611802.2182066,300,0.38999998569488525
1590612085.1446576,310,0.33500000834465027
1590612368.9278421,320,0.33500000834465027
1590612651.9541833,330,0.33500000834465027
1590612934.9845543,340,0.20999999344348907
1590613218.1075854,350,0.1850000023841858
1590613501.2615402,360,0.14000000059604645
1590613784.6090922,370,0.1899999976158142
1590614068.930849,380,0.20000000298023224
1590614353.6395855,390,0.17000000178813934
1590614638.7043102,400,0.1599999964237213
1590614921.897085,410,0.11999999731779099
1590615206.6575015,420,0.18000000715255737
1590615490.3231785,430,0.32499998807907104
1590615774.4222324,440,0.3499999940395355
1590616057.7672586,450,0.2800000011920929
1590616341.8286488,460,0.10499999672174454
1590616626.092406,470,0.19499999284744263
1590616910.0923827,480,0.12999999523162842
1590617194.7723973,490,0.11999999731779099
1590617478.7847488,500,0.10999999940395355
1590617763.5417082,510,0.1599999964237213
1590618047.9556544,520,0.24500000476837158
1590618439.4492054,530,0.2199999988079071
1590618736.897099,540,0.3050000071525574
1590619020.2432342,550,0.14000000059604645
1590619349.3596988,560,0.11999999731779099
1590619633.3545816,570,0.15000000596046448
1590619916.5400522,580,0.25999999046325684
1590620199.7558053,590,0.38999998569488525
1590620483.4827235,600,0.12999999523162842
1590620766.425683,610,0.15000000596046448
1590621049.4554636,620,0.18000000715255737
1590621331.7980192,630,0.10999999940395355
1590621614.8119233,640,0.19499999284744263
1590621898.0403876,650,0.10999999940395355
1590622180.3679416,660,0.10499999672174454
1590622463.524593,670,0.10499999672174454
1590622746.69193,680,0.10000000149011612
1590623029.8255615,690,0.07000000029802322
1590623312.644479,700,0.07500000298023224
1590623596.4934726,710,0.07500000298023224
1590623880.2050133,720,0.18000000715255737
1590624164.7697794,730,0.04500000178813934
1590624448.8517594,740,0.08500000089406967
1590624732.826642,750,0.13500000536441803
1590625018.0368667,760,0.03500000014901161
1590625302.3056433,770,0.054999999701976776
1590625711.621929,780,0.06499999761581421
1590625995.4323275,790,0.054999999701976776
1590626321.6837528,800,0.019999999552965164
1590626750.7108173,810,0.2150000035762787
1590627178.4691114,820,0.07500000298023224
1590627607.3171241,830,0.10000000149011612
1590628034.5620835,840,0.03999999910593033
1590628462.7092605,850,0.019999999552965164
1590628890.6633081,860,0.07500000298023224
1590629318.7945151,870,0.03999999910593033
1590629753.9663455,880,0.07500000298023224
1590630297.103585,890,0.029999999329447746
1590630724.359187,900,0.009999999776482582
1590631152.316383,910,0.014999999664723873
1590631580.1604638,920,0.02500000037252903
1590632008.7195,930,0.02500000037252903
1590632438.019647,940,0.009999999776482582
1590632866.3656125,950,0.05999999865889549
1590633293.5289104,960,0.019999999552965164
1590633722.844621,970,0.019999999552965164
1590634150.9914887,980,0.03999999910593033
1590634578.3662708,990,0.019999999552965164
1590635006.918572,1000,0.02500000037252903
1590635434.8883362,1010,0.054999999701976776
1590635862.8058076,1020,0.004999999888241291
1590636290.2552724,1030,0.009999999776482582
1590636720.1127248,1040,0.014999999664723873
1590637149.3223088,1050,0.009999999776482582
1590637506.198974,1060,0.02500000037252903
1590637794.485494,1070,0.019999999552965164
1590638078.1041095,1080,0.014999999664723873
1590638362.2038522,1090,0.014999999664723873
1590638646.8740332,1100,0.004999999888241291
