seed,workspace,stages,degree,hparams/epoch,hparams/num_parameters,hparams/validate_best
7427.0,3.0,2.0,2.0,999.0,26.0,0.2695270776748657
3774.0,6.0,1.0,3.0,130.0,31.0,0.008280456066131592
5081.0,8.0,1.0,3.0,999.0,39.0,0.20689940452575684
700.0,3.0,1.0,1.0,999.0,19.0,0.022998273372650146
3774.0,7.0,1.0,3.0,999.0,35.0,0.16613250970840454
700.0,3.0,2.0,1.0,999.0,26.0,0.38276058435440063
700.0,4.0,1.0,1.0,999.0,23.0,0.20528757572174072
3774.0,6.0,1.0,4.0,110.0,31.0,0.008157610893249512
700.0,4.0,2.0,1.0,999.0,32.0,0.5793441534042358
6936.0,8.0,2.0,4.0,190.0,56.0,0.008498549461364746
3774.0,7.0,2.0,3.0,70.0,50.0,0.009721159934997559
700.0,5.0,1.0,1.0,999.0,27.0,0.4437655806541443
7427.0,3.0,1.0,3.0,999.0,19.0,0.39103323221206665
7427.0,7.0,1.0,2.0,999.0,35.0,0.017861783504486084
3774.0,7.0,2.0,4.0,120.0,50.0,0.008188784122467041
7427.0,4.0,2.0,3.0,999.0,32.0,0.11200481653213501
5081.0,8.0,2.0,2.0,80.0,56.0,0.007368922233581543
7427.0,6.0,1.0,3.0,130.0,31.0,0.005678951740264893
3774.0,8.0,1.0,3.0,120.0,39.0,0.004354298114776611
7427.0,4.0,1.0,3.0,999.0,23.0,0.14708954095840454
700.0,3.0,1.0,2.0,999.0,19.0,0.43026697635650635
700.0,5.0,2.0,1.0,999.0,38.0,0.1725354790687561
7427.0,6.0,1.0,4.0,220.0,31.0,0.009801030158996582
5081.0,8.0,2.0,3.0,120.0,56.0,0.00870436429977417
7427.0,5.0,2.0,2.0,230.0,38.0,0.0063124895095825195
3774.0,8.0,1.0,4.0,999.0,39.0,0.10942167043685913
3774.0,6.0,2.0,3.0,90.0,44.0,0.007524073123931885
700.0,7.0,2.0,1.0,310.0,50.0,0.009343922138214111
700.0,4.0,1.0,2.0,999.0,23.0,0.08397197723388672
700.0,3.0,2.0,2.0,999.0,26.0,0.424044668674469
7427.0,3.0,1.0,4.0,999.0,19.0,0.2848108410835266
3774.0,6.0,2.0,4.0,130.0,44.0,0.0031586885452270508
7427.0,8.0,2.0,2.0,999.0,56.0,0.35619664192199707
700.0,8.0,2.0,1.0,340.0,56.0,0.009498834609985352
700.0,3.0,1.0,3.0,999.0,19.0,0.05827939510345459
7427.0,5.0,2.0,3.0,330.0,38.0,0.009031295776367188
7427.0,6.0,2.0,3.0,250.0,44.0,0.00559920072555542
5081.0,8.0,2.0,4.0,310.0,56.0,0.0003446340560913086
1664.0,3.0,1.0,1.0,999.0,19.0,0.4136996269226074
1664.0,3.0,2.0,1.0,999.0,26.0,0.2828395962715149
7427.0,8.0,1.0,3.0,140.0,39.0,0.0059937238693237305
700.0,5.0,1.0,2.0,410.0,27.0,0.006310820579528809
6936.0,8.0,1.0,3.0,90.0,39.0,0.009970426559448242
700.0,4.0,2.0,2.0,550.0,32.0,0.008866548538208008
3774.0,7.0,1.0,4.0,999.0,35.0,0.19260740280151367
7427.0,4.0,1.0,4.0,999.0,23.0,0.20279616117477417
7427.0,3.0,2.0,4.0,999.0,26.0,0.0181581974029541
7427.0,4.0,2.0,4.0,999.0,32.0,0.15095305442810059
7427.0,6.0,2.0,4.0,90.0,44.0,0.007522284984588623
7427.0,8.0,1.0,4.0,999.0,39.0,0.11610114574432373
7427.0,5.0,2.0,4.0,999.0,38.0,0.11896294355392456
700.0,6.0,2.0,2.0,130.0,44.0,0.008375585079193115
6936.0,8.0,1.0,4.0,999.0,39.0,0.05213356018066406
1664.0,4.0,1.0,1.0,999.0,23.0,0.23963600397109985
700.0,3.0,1.0,4.0,999.0,19.0,0.34734606742858887
700.0,5.0,1.0,3.0,190.0,27.0,0.009220123291015625
700.0,6.0,1.0,3.0,130.0,31.0,0.007453620433807373
5081.0,8.0,1.0,4.0,120.0,39.0,0.003829658031463623
700.0,4.0,1.0,3.0,999.0,23.0,0.11154216527938843
7427.0,7.0,1.0,3.0,130.0,35.0,0.006385445594787598
700.0,7.0,2.0,2.0,180.0,50.0,0.009501516819000244
700.0,6.0,1.0,4.0,120.0,31.0,0.004290342330932617
700.0,8.0,2.0,2.0,140.0,56.0,0.006353259086608887
700.0,3.0,2.0,3.0,670.0,26.0,0.007046520709991455
700.0,6.0,2.0,3.0,370.0,44.0,0.002624332904815674
700.0,7.0,1.0,3.0,999.0,35.0,0.27569353580474854
700.0,5.0,1.0,4.0,220.0,27.0,0.0072907209396362305
700.0,4.0,2.0,3.0,999.0,32.0,0.04771310091018677
7427.0,7.0,2.0,2.0,210.0,50.0,0.008959412574768066
1664.0,5.0,1.0,1.0,540.0,27.0,0.009761571884155273
1664.0,5.0,2.0,1.0,999.0,38.0,0.5904657244682312
700.0,5.0,2.0,2.0,999.0,38.0,0.17456179857254028
1664.0,3.0,2.0,2.0,999.0,26.0,0.2715386152267456
7427.0,7.0,1.0,4.0,999.0,35.0,0.15777432918548584
1664.0,6.0,1.0,1.0,850.0,31.0,0.008006274700164795
1664.0,3.0,1.0,2.0,999.0,19.0,0.08730465173721313
700.0,8.0,2.0,3.0,70.0,56.0,0.008971452713012695
1664.0,7.0,1.0,1.0,500.0,35.0,0.009181499481201172
700.0,7.0,2.0,3.0,70.0,50.0,0.008208394050598145
700.0,8.0,2.0,4.0,999.0,56.0,0.06346017122268677
7427.0,7.0,2.0,3.0,220.0,50.0,0.004969239234924316
1664.0,4.0,2.0,2.0,999.0,32.0,0.07829606533050537
3774.0,8.0,2.0,3.0,210.0,56.0,0.0016089081764221191
1664.0,5.0,1.0,2.0,999.0,27.0,0.35796648263931274
1664.0,4.0,1.0,2.0,999.0,23.0,0.16563868522644043
700.0,6.0,2.0,4.0,999.0,44.0,0.10496443510055542
700.0,8.0,1.0,3.0,999.0,39.0,0.21455544233322144
700.0,4.0,1.0,4.0,999.0,23.0,0.07164978981018066
700.0,7.0,2.0,4.0,999.0,50.0,0.06372988224029541
1664.0,8.0,2.0,1.0,540.0,56.0,0.007651209831237793
7262.0,3.0,1.0,1.0,999.0,19.0,0.39974695444107056
1664.0,3.0,2.0,3.0,999.0,26.0,0.25134706497192383
1664.0,7.0,1.0,2.0,999.0,35.0,0.23026615381240845
7262.0,3.0,2.0,1.0,999.0,26.0,0.37944960594177246
7427.0,7.0,2.0,4.0,70.0,50.0,0.005245983600616455
7262.0,4.0,1.0,1.0,999.0,23.0,0.25738847255706787
3774.0,8.0,2.0,4.0,50.0,56.0,0.0018671751022338867
1664.0,3.0,1.0,3.0,999.0,19.0,0.2709406614303589
7262.0,4.0,2.0,1.0,999.0,32.0,0.171400785446167
1664.0,6.0,1.0,2.0,150.0,31.0,0.009285807609558105
1664.0,5.0,2.0,2.0,210.0,38.0,0.006400108337402344
7262.0,3.0,1.0,2.0,999.0,19.0,0.2870446443557739
1664.0,5.0,1.0,3.0,370.0,27.0,0.006131112575531006
7262.0,5.0,2.0,1.0,999.0,38.0,0.2566056251525879
1664.0,4.0,1.0,3.0,999.0,23.0,0.1796998381614685
1664.0,6.0,1.0,3.0,130.0,31.0,0.0075688958168029785
1664.0,4.0,2.0,3.0,190.0,32.0,0.008444547653198242
7262.0,6.0,1.0,1.0,999.0,31.0,0.4873056411743164
700.0,5.0,2.0,3.0,999.0,38.0,0.10276633501052856
1664.0,5.0,2.0,3.0,190.0,38.0,0.009159386157989502
1664.0,6.0,1.0,4.0,999.0,31.0,0.14695215225219727
700.0,7.0,1.0,4.0,160.0,35.0,0.0027970075607299805
1664.0,3.0,2.0,4.0,999.0,26.0,0.08745479583740234
1664.0,5.0,1.0,4.0,999.0,27.0,0.22190958261489868
7262.0,5.0,1.0,2.0,500.0,27.0,0.006645023822784424
1664.0,7.0,2.0,3.0,70.0,50.0,0.009226977825164795
1664.0,6.0,2.0,2.0,190.0,44.0,0.00950467586517334
7262.0,7.0,1.0,1.0,510.0,35.0,0.008836328983306885
1664.0,5.0,2.0,4.0,400.0,38.0,0.0092393159866333
1664.0,8.0,1.0,2.0,120.0,39.0,0.005364179611206055
7262.0,3.0,2.0,2.0,999.0,26.0,0.20069730281829834
1664.0,7.0,2.0,4.0,80.0,50.0,0.008117854595184326
7262.0,3.0,1.0,3.0,999.0,19.0,0.2658464312553406
7427.0,8.0,2.0,3.0,999.0,56.0,0.4181945323944092
7262.0,4.0,1.0,2.0,999.0,23.0,0.13127648830413818
1664.0,6.0,2.0,3.0,80.0,44.0,0.006545364856719971
7262.0,8.0,2.0,1.0,360.0,56.0,0.007860839366912842
1664.0,7.0,1.0,3.0,999.0,35.0,0.18462872505187988
1664.0,3.0,1.0,4.0,999.0,19.0,0.11538958549499512
499.0,3.0,1.0,1.0,999.0,19.0,0.2637931704521179
1664.0,4.0,1.0,4.0,999.0,23.0,0.12577080726623535
7262.0,5.0,1.0,3.0,999.0,27.0,0.08645617961883545
1664.0,6.0,2.0,4.0,90.0,44.0,0.00740128755569458
499.0,3.0,2.0,1.0,999.0,26.0,0.5312093496322632
1664.0,8.0,1.0,4.0,999.0,39.0,0.25279098749160767
7262.0,7.0,1.0,2.0,999.0,35.0,0.4447213411331177
499.0,4.0,1.0,1.0,999.0,23.0,0.2653927206993103
499.0,4.0,2.0,1.0,999.0,32.0,0.33443188667297363
499.0,5.0,1.0,1.0,999.0,27.0,0.02200937271118164
7262.0,3.0,1.0,4.0,999.0,19.0,0.09910792112350464
1664.0,8.0,2.0,2.0,100.0,56.0,0.007378697395324707
7262.0,3.0,2.0,3.0,999.0,26.0,0.38963162899017334
7262.0,5.0,2.0,2.0,270.0,38.0,0.009508907794952393
700.0,8.0,1.0,4.0,999.0,39.0,0.10191261768341064
499.0,6.0,1.0,1.0,640.0,31.0,0.009151041507720947
499.0,3.0,1.0,2.0,999.0,19.0,0.426965594291687
7262.0,6.0,1.0,3.0,110.0,31.0,0.006147801876068115
1664.0,8.0,2.0,3.0,320.0,56.0,0.0021742582321166992
700.0,5.0,2.0,4.0,130.0,38.0,0.006933450698852539
499.0,7.0,1.0,1.0,999.0,35.0,0.3595970869064331
499.0,3.0,2.0,2.0,999.0,26.0,0.390993595123291
7262.0,8.0,2.0,2.0,80.0,56.0,0.0070053935050964355
499.0,7.0,2.0,1.0,320.0,50.0,0.009668886661529541
499.0,8.0,1.0,1.0,860.0,39.0,0.0038643479347229004
7262.0,5.0,1.0,4.0,190.0,27.0,0.005640804767608643
7262.0,6.0,2.0,4.0,999.0,44.0,0.08205056190490723
499.0,8.0,2.0,1.0,480.0,56.0,0.008489429950714111
7262.0,8.0,2.0,3.0,70.0,56.0,0.0026483535766601562
499.0,4.0,2.0,2.0,390.0,32.0,0.0078011155128479
7262.0,5.0,2.0,4.0,130.0,38.0,0.007521212100982666
1664.0,7.0,1.0,4.0,999.0,35.0,0.26436519622802734
9736.0,3.0,1.0,1.0,999.0,19.0,0.3872549533843994
9736.0,3.0,2.0,1.0,999.0,26.0,0.3746178150177002
499.0,5.0,1.0,2.0,999.0,27.0,0.165291428565979
7262.0,8.0,2.0,4.0,100.0,56.0,0.002805471420288086
499.0,3.0,1.0,3.0,999.0,19.0,0.09732961654663086
499.0,6.0,1.0,2.0,350.0,31.0,0.007022559642791748
9736.0,4.0,1.0,1.0,999.0,23.0,0.3120375871658325
499.0,4.0,1.0,3.0,999.0,23.0,0.09994107484817505
9736.0,4.0,2.0,1.0,999.0,32.0,0.5777536034584045
7262.0,7.0,1.0,3.0,140.0,35.0,0.006168186664581299
9736.0,5.0,1.0,1.0,510.0,27.0,0.009379863739013672
7262.0,3.0,2.0,4.0,999.0,26.0,0.09843569993972778
499.0,4.0,2.0,3.0,240.0,32.0,0.009895741939544678
7262.0,7.0,1.0,4.0,540.0,35.0,0.0025234222412109375
499.0,6.0,2.0,2.0,150.0,44.0,0.008235812187194824
9736.0,5.0,2.0,1.0,999.0,38.0,0.5404276251792908
7262.0,7.0,2.0,3.0,110.0,50.0,0.00687098503112793
499.0,7.0,2.0,2.0,180.0,50.0,0.009670794010162354
499.0,4.0,2.0,4.0,220.0,32.0,0.008362054824829102
499.0,6.0,1.0,3.0,999.0,31.0,0.10823512077331543
9736.0,3.0,1.0,2.0,999.0,19.0,0.0832865834236145
499.0,6.0,2.0,3.0,90.0,44.0,0.007852673530578613
499.0,3.0,1.0,4.0,999.0,19.0,0.23070889711380005
7262.0,7.0,2.0,4.0,60.0,50.0,0.003980457782745361
499.0,5.0,2.0,3.0,120.0,38.0,0.008532106876373291
1664.0,8.0,2.0,4.0,999.0,56.0,0.12029445171356201
499.0,6.0,2.0,4.0,90.0,44.0,0.003709852695465088
9736.0,3.0,2.0,2.0,999.0,26.0,0.46868896484375
499.0,5.0,2.0,4.0,100.0,38.0,0.007123887538909912
9736.0,4.0,1.0,2.0,999.0,23.0,0.18835145235061646
9736.0,7.0,1.0,1.0,670.0,35.0,0.009690701961517334
499.0,4.0,1.0,4.0,999.0,23.0,0.2353203296661377
499.0,7.0,1.0,2.0,180.0,35.0,0.005337119102478027
499.0,8.0,2.0,2.0,120.0,56.0,0.004754841327667236
9736.0,7.0,2.0,1.0,470.0,50.0,0.009163856506347656
7262.0,8.0,1.0,3.0,950.0,39.0,0.004124999046325684
9736.0,5.0,1.0,3.0,280.0,27.0,0.009763240814208984
499.0,7.0,2.0,3.0,120.0,50.0,0.0025385022163391113
9736.0,4.0,2.0,2.0,770.0,32.0,0.009261488914489746
9736.0,8.0,2.0,1.0,430.0,56.0,0.007260382175445557
6654.0,3.0,1.0,1.0,999.0,19.0,0.36085158586502075
499.0,8.0,1.0,2.0,250.0,39.0,0.006065845489501953
499.0,7.0,1.0,3.0,220.0,35.0,0.0073770880699157715
9736.0,3.0,1.0,3.0,999.0,19.0,0.28326916694641113
6654.0,3.0,2.0,1.0,999.0,26.0,0.5219442844390869
6654.0,4.0,1.0,1.0,999.0,23.0,0.34846919775009155
6654.0,4.0,2.0,1.0,999.0,32.0,0.5990697741508484
499.0,8.0,2.0,3.0,50.0,56.0,0.0038480162620544434
6654.0,5.0,1.0,1.0,999.0,27.0,0.16855788230895996
9736.0,6.0,1.0,2.0,290.0,31.0,0.008691370487213135
499.0,7.0,2.0,4.0,110.0,50.0,0.0008894205093383789
499.0,8.0,2.0,4.0,430.0,56.0,0.003237783908843994
7427.0,8.0,2.0,4.0,600.0,56.0,0.005209863185882568
6654.0,6.0,1.0,1.0,640.0,31.0,0.0082474946975708
499.0,7.0,1.0,4.0,999.0,35.0,0.0758170485496521
6654.0,3.0,1.0,2.0,999.0,19.0,0.25931841135025024
9736.0,6.0,1.0,3.0,999.0,31.0,0.10265052318572998
499.0,8.0,1.0,3.0,999.0,39.0,0.19764834642410278
9736.0,3.0,2.0,3.0,999.0,26.0,0.21535742282867432
9736.0,7.0,1.0,2.0,100.0,35.0,0.00884544849395752
499.0,6.0,1.0,4.0,999.0,31.0,0.074665367603302
6654.0,7.0,2.0,1.0,999.0,50.0,0.5459972023963928
6654.0,8.0,1.0,1.0,650.0,39.0,0.009729623794555664
9736.0,7.0,2.0,2.0,999.0,50.0,0.36936724185943604
9736.0,7.0,1.0,3.0,100.0,35.0,0.00799793004989624
9736.0,3.0,1.0,4.0,999.0,19.0,0.0842854380607605
9736.0,8.0,1.0,2.0,999.0,39.0,0.17944824695587158
6654.0,8.0,2.0,1.0,500.0,56.0,0.008428215980529785
9736.0,7.0,1.0,4.0,999.0,35.0,0.04709672927856445
6654.0,3.0,2.0,2.0,999.0,26.0,0.2597275376319885
6654.0,5.0,2.0,2.0,280.0,38.0,0.009870409965515137
6654.0,4.0,1.0,2.0,260.0,23.0,0.008651196956634521
6654.0,3.0,1.0,3.0,999.0,19.0,0.13669633865356445
6654.0,4.0,1.0,3.0,999.0,23.0,0.17847150564193726
6654.0,5.0,1.0,2.0,999.0,27.0,0.021312475204467773
9736.0,5.0,2.0,4.0,140.0,38.0,0.009691238403320312
6654.0,5.0,2.0,3.0,150.0,38.0,0.006395936012268066
6654.0,4.0,2.0,3.0,260.0,32.0,0.005854010581970215
9736.0,6.0,2.0,2.0,390.0,44.0,0.009820759296417236
9736.0,4.0,2.0,4.0,999.0,32.0,0.08623665571212769
6654.0,7.0,1.0,2.0,999.0,35.0,0.20340728759765625
9736.0,8.0,2.0,2.0,120.0,56.0,0.005622267723083496
9736.0,3.0,2.0,4.0,999.0,26.0,0.12619394063949585
6654.0,5.0,2.0,4.0,120.0,38.0,0.009385406970977783
6654.0,4.0,2.0,4.0,999.0,32.0,0.14396369457244873
9736.0,6.0,1.0,4.0,999.0,31.0,0.09787964820861816
6654.0,3.0,1.0,4.0,999.0,19.0,0.19392931461334229
6654.0,3.0,2.0,3.0,999.0,26.0,0.06296724081039429
6654.0,6.0,1.0,3.0,999.0,31.0,0.15675842761993408
6654.0,6.0,2.0,2.0,120.0,44.0,0.006713509559631348
9736.0,8.0,2.0,3.0,80.0,56.0,0.0016474723815917969
6654.0,4.0,1.0,4.0,999.0,23.0,0.21523040533065796
7262.0,8.0,1.0,4.0,60.0,39.0,0.009884178638458252
6654.0,6.0,2.0,4.0,999.0,44.0,0.11725234985351562
6654.0,5.0,1.0,3.0,999.0,27.0,0.10674291849136353
9736.0,8.0,2.0,4.0,50.0,56.0,0.000980675220489502
6654.0,3.0,2.0,4.0,999.0,26.0,0.2548532485961914
9736.0,6.0,2.0,4.0,340.0,44.0,0.0029677748680114746
9736.0,7.0,2.0,3.0,120.0,50.0,0.0029684901237487793
499.0,8.0,1.0,4.0,210.0,39.0,0.0025517940521240234
9736.0,8.0,1.0,3.0,100.0,39.0,0.001687169075012207
6654.0,8.0,2.0,2.0,70.0,56.0,0.009416937828063965
6654.0,7.0,1.0,3.0,530.0,35.0,0.0037822723388671875
6654.0,8.0,1.0,3.0,999.0,39.0,0.22736525535583496
9736.0,8.0,1.0,4.0,580.0,39.0,0.0010182857513427734
6654.0,6.0,1.0,4.0,999.0,31.0,0.19518673419952393
6654.0,5.0,1.0,4.0,400.0,27.0,0.0077095627784729
6654.0,8.0,2.0,3.0,300.0,56.0,0.00688624382019043
6654.0,7.0,1.0,4.0,999.0,35.0,0.07169336080551147
6654.0,7.0,2.0,3.0,60.0,50.0,0.006312966346740723
6654.0,7.0,2.0,4.0,250.0,50.0,0.009932339191436768
6654.0,8.0,2.0,4.0,50.0,56.0,0.0025669336318969727
6654.0,8.0,1.0,4.0,999.0,39.0,0.10827767848968506
6936.0,3.0,3.0,1.0,999.0,33.0,0.21495091915130615
6936.0,4.0,3.0,1.0,999.0,41.0,0.5663029551506042
6936.0,4.0,4.0,1.0,999.0,50.0,0.3128226399421692
6936.0,3.0,4.0,1.0,999.0,40.0,0.3223915100097656
6936.0,5.0,4.0,1.0,800.0,60.0,0.009916841983795166
6936.0,6.0,3.0,1.0,400.0,57.0,0.006805300712585449
6936.0,6.0,4.0,1.0,300.0,70.0,0.008130431175231934
6936.0,7.0,4.0,1.0,320.0,80.0,0.009066402912139893
6936.0,7.0,3.0,1.0,950.0,65.0,0.00915825366973877
6936.0,8.0,3.0,1.0,999.0,73.0,0.2863290309906006
5081.0,3.0,3.0,1.0,999.0,33.0,0.40255284309387207
6936.0,8.0,4.0,1.0,230.0,90.0,0.009180605411529541
5081.0,3.0,4.0,1.0,999.0,40.0,0.5375882983207703
5081.0,4.0,4.0,1.0,999.0,50.0,0.12738358974456787
5081.0,4.0,3.0,1.0,999.0,41.0,0.17260664701461792
5081.0,7.0,3.0,1.0,310.0,65.0,0.009667158126831055
5081.0,7.0,4.0,1.0,740.0,80.0,0.005530893802642822
5081.0,8.0,3.0,1.0,350.0,73.0,0.008921682834625244
5081.0,8.0,4.0,1.0,999.0,90.0,0.293079137802124
3774.0,3.0,3.0,1.0,999.0,33.0,0.5229041576385498
3774.0,3.0,4.0,1.0,999.0,40.0,0.18325364589691162
3774.0,4.0,4.0,1.0,999.0,50.0,0.350350558757782
3774.0,5.0,3.0,1.0,999.0,49.0,0.3561398386955261
3774.0,5.0,4.0,1.0,350.0,60.0,0.009770870208740234
6936.0,6.0,3.0,2.0,150.0,57.0,0.006089925765991211
5081.0,6.0,3.0,2.0,170.0,57.0,0.008280396461486816
3774.0,5.0,4.0,2.0,180.0,60.0,0.006567478179931641
6936.0,6.0,4.0,2.0,160.0,70.0,0.004243135452270508
6936.0,3.0,3.0,2.0,999.0,33.0,0.3280864953994751
6936.0,8.0,4.0,2.0,999.0,90.0,0.07935160398483276
5081.0,6.0,4.0,2.0,270.0,70.0,0.006121695041656494
6936.0,5.0,3.0,2.0,999.0,49.0,0.0758330225944519
5081.0,8.0,3.0,2.0,999.0,73.0,0.435152530670166
