seed,sentence_length,hparams/epoch,hparams/validate_best,hparams/character_error_rate_best
27489.0,5.0,60.0,0.0004954338073730469,0.0
29885.0,5.0,60.0,0.0004138350486755371,0.0
31509.0,5.0,130.0,0.00042444467544555664,0.0
25388.0,5.0,100.0,0.0004404783248901367,0.0
27175.0,5.0,140.0,0.0003616213798522949,0.0
32030.0,5.0,60.0,0.0003657341003417969,0.0
31615.0,5.0,90.0,0.00038301944732666016,0.0
34899.0,5.0,120.0,0.0004228353500366211,0.0
30680.0,5.0,90.0,0.00045114755630493164,0.0
25969.0,5.0,60.0,0.00034683942794799805,0.0
32780.0,5.0,70.0,0.00031363964080810547,0.0
33470.0,5.0,180.0,0.0004750490188598633,0.0
30084.0,5.0,230.0,0.0004469156265258789,0.0
26845.0,5.0,110.0,0.0004519820213317871,0.0
28785.0,5.0,60.0,0.00044471025466918945,0.0
32630.0,5.0,70.0,0.0003959536552429199,0.0
30883.0,5.0,90.0,0.0004373788833618164,0.0
30762.0,5.0,60.0,0.0004857778549194336,0.0
26159.0,5.0,80.0,0.00041496753692626953,0.0
34317.0,5.0,100.0,0.0003782510757446289,0.0
33016.0,5.0,70.0,0.0004380345344543457,0.0
26305.0,5.0,70.0,0.0004715919494628906,0.0
29421.0,5.0,120.0,0.00044912099838256836,0.0
25127.0,5.0,70.0,0.00038439035415649414,0.0
33282.0,5.0,80.0,0.0003681778907775879,0.0
33391.0,5.0,80.0,0.00037175416946411133,0.0
31087.0,5.0,150.0,0.0003433823585510254,0.0
34143.0,5.0,80.0,0.0003685951232910156,0.0
30698.0,5.0,70.0,0.0004756450653076172,0.0
29885.0,10.0,100.0,0.0003402829170227051,0.0
27489.0,10.0,120.0,0.00047200918197631836,0.0
31509.0,10.0,130.0,0.00039386749267578125,0.0
25388.0,10.0,120.0,0.000418245792388916,0.0
27175.0,10.0,90.0,0.00040459632873535156,0.0
32030.0,10.0,120.0,0.00043594837188720703,0.0
31615.0,10.0,280.0,0.00040787458419799805,0.0
30680.0,10.0,150.0,0.00044852495193481445,0.0
34899.0,10.0,80.0,0.0004932880401611328,0.0
25969.0,10.0,130.0,0.0004930496215820312,0.0
32780.0,10.0,999.0,0.40814852714538574,0.42578125
33470.0,10.0,90.0,0.00046312808990478516,0.0
30084.0,10.0,999.0,0.1762857437133789,0.1796875
26845.0,10.0,150.0,0.00022214651107788086,0.0
32630.0,10.0,999.0,0.0007190108299255371,0.0
28785.0,10.0,999.0,0.0010870695114135742,0.0
26159.0,10.0,120.0,0.0004456043243408203,0.0
30762.0,10.0,360.0,0.0004589557647705078,0.0
34317.0,10.0,90.0,0.00037598609924316406,0.0
26305.0,10.0,640.0,0.00039005279541015625,0.0
29421.0,10.0,300.0,0.00048035383224487305,0.0
25127.0,10.0,80.0,0.0003104209899902344,0.0
33282.0,10.0,999.0,0.19434332847595215,0.19140625
34143.0,10.0,70.0,0.00038510560989379883,0.0
