seed,sentence_length,hparams/epoch,hparams/validate_best,hparams/character_error_rate_best
31087.0,100.0,760.0,0.0004533529281616211,0.0
32030.0,200.0,999.0,0.0007799863815307617,0.0
31615.0,200.0,190.0,0.00047957897186279297,0.0
30680.0,200.0,250.0,0.00032210350036621094,0.0
34899.0,200.0,220.0,0.00047266483306884766,0.0
25969.0,200.0,999.0,0.16442501544952393,0.171875
32780.0,200.0,480.0,0.00047838687896728516,0.0
33470.0,200.0,999.0,0.17374420166015625,0.15625
26845.0,200.0,270.0,0.0004096031188964844,0.0
28785.0,200.0,999.0,0.01110386848449707,0.0078125
30883.0,200.0,270.0,0.00048410892486572266,0.0
34317.0,200.0,780.0,0.0004838705062866211,0.0
26305.0,200.0,530.0,0.0003927946090698242,0.0
33016.0,200.0,999.0,0.17527496814727783,0.15625
29421.0,200.0,999.0,0.0006196498870849609,0.0
25127.0,200.0,999.0,0.17309284210205078,0.171875
33282.0,200.0,130.0,0.0004914999008178711,0.0
33391.0,200.0,999.0,0.000807642936706543,0.0
34143.0,200.0,999.0,0.13462114334106445,0.1328125
31087.0,200.0,250.0,0.0002779960632324219,0.0
30698.0,200.0,860.0,0.0004762411117553711,0.0
27968.0,200.0,999.0,0.4133107662200928,0.40625
29885.0,500.0,650.0,0.00033724308013916016,0.0
27489.0,500.0,160.0,0.00047457218170166016,0.0
31509.0,500.0,200.0,0.0004347562789916992,0.0
25388.0,500.0,270.0,0.00044465065002441406,0.0
27175.0,500.0,470.0,0.0004938840866088867,0.0
32030.0,500.0,730.0,0.00046622753143310547,0.0
31615.0,500.0,480.0,0.0004571676254272461,0.0
30680.0,500.0,290.0,0.00043332576751708984,0.0
34899.0,500.0,710.0,0.0004943609237670898,0.0
25969.0,500.0,230.0,0.00047791004180908203,0.0
32780.0,500.0,999.0,0.1798926591873169,0.1484375
30084.0,500.0,310.0,0.0002944469451904297,0.0
33470.0,500.0,300.0,0.00040900707244873047,0.0
26845.0,500.0,380.0,0.0004247426986694336,0.0
32630.0,500.0,190.0,0.00048232078552246094,0.0
28785.0,500.0,350.0,0.0004639625549316406,0.0
30883.0,500.0,100.0,0.0004961490631103516,0.0
26159.0,500.0,70.0,0.00033533573150634766,0.0
30762.0,500.0,240.0,0.00048553943634033203,0.0
34317.0,500.0,290.0,0.0004742145538330078,0.0
26305.0,500.0,470.0,0.00047218799591064453,0.0
33016.0,500.0,999.0,0.16551148891448975,0.15625
29421.0,500.0,160.0,0.0004214048385620117,0.0
25127.0,500.0,640.0,0.00044536590576171875,0.0
33282.0,500.0,560.0,0.0004730224609375,0.0
33391.0,500.0,200.0,0.000423431396484375,0.0
34143.0,500.0,999.0,0.0026602745056152344,0.0
31087.0,500.0,440.0,0.00046896934509277344,0.0
30698.0,500.0,160.0,0.0004858970642089844,0.0
27968.0,500.0,230.0,0.00026702880859375,0.0
